index,Provider Name,Provider State,Federal Provider Number,Provider SSA County Code,Provider County Name,Overall Rating,Location,Latitude,Longitude
2,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,015112,430,Macon,5.0,"603 WRIGHT STREET
TUSKEGEE, AL 36083
(32.432923, -85.691051)",32.432923,-85.691051
7,HENDRIX HEALTH AND REHABILITATION,AL,015138,660,Winston,5.0,"1000 HIGHWAY
DOUBLE SPRINGS, AL 35553
(34.163162, -87.409783)",34.163162,-87.409783
8,ALICEVILLE MANOR NURSING HOME,AL,015137,530,Pickens,5.0,"703 17TH STREET NORTHWEST
ALICEVILLE, AL 35442
(33.134382, -88.16865)",33.134382,-88.16865
9,FALKVILLE HEALTH CARE CENTER,AL,015136,510,Morgan,5.0,"10 WEST 3RD STREET
FALKVILLE, AL 35622
(34.368669, -86.910173)",34.368669,-86.910173
17,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,015168,480,Mobile,5.0,"1655 MCGILL AVENUE
MOBILE, AL 36604
(30.684156, -88.078467)",30.684156,-88.078467
21,"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,015182,60,Butler,5.0,"206 PALMER AVENUE
GEORGIANA, AL 36033
(31.640387, -86.735971)",31.640387,-86.735971
22,GADSDEN HEALTH AND REHAB CENTER,AL,015180,270,Etowah,5.0,"1945 DAVIS DRIVE
GADSDEN, AL 35904
(33.98949, -86.028647)",33.98949,-86.028647
24,PIEDMONT HEALTH CARE CENTER,AL,015194,70,Calhoun,5.0,"30 ROUNDTREE DRIVE
PIEDMONT, AL 36272
(33.90859, -85.606975)",33.90859,-85.606975
34,ANDALUSIA MANOR,AL,015416,190,Covington,5.0,"670 MOORE RD
ANDALUSIA, AL 36420
(31.282419, -86.497782)",31.282419,-86.497782
62,LONGMONT UNITED HOSPITAL T C U,CO,065328,60,Boulder,5.0,"1950 MOUNTAIN VIEW AVENUE
LONGMONT, CO 80501
(40.181323, -105.125207)",40.181323,-105.125207
63,MOUNT ST FRANCIS NURSING CENTER,CO,065325,200,El Paso,5.0,"7550 ASSISI HEIGHTS
COLORADO SPRINGS, CO 80919
(38.947813, -104.873)",38.947813,-104.873
64,COLORADO LUTHERAN HOME,CO,065330,290,Jefferson,5.0,"7991 WEST 71ST AVENUE
ARVADA, CO 80004
(39.825759, -105.083326)",39.825759,-105.083326
68,LIFE CARE CENTER OF LITTLETON,CO,065370,20,Arapahoe,5.0,"1500 WEST MINERAL AVENUE
LITTLETON, CO 80120
(39.573463, -105.00509)",39.573463,-105.00509
78,"LIFECARE ST. JOHNS, INC",FL,106040,540,St. Johns,5.0,"230 TOWERVIEW DRIVE
SAINT AUGUSTINE, FL 32092
(29.986831, -81.480016)",29.986831,-81.480016
81,ALEXANDER NININGER STATE VETERANS NURSING HOME,FL,106038,50,Broward,5.0,"8401 W CYPRESS DR
PEMBROKE PINES, FL 33025
(26.003119, -80.253985)",26.003119,-80.253985
92,CUMMING NURSING CENTER,GA,115551,461,Forsyth,5.0,"2775 CASTLEBERRY ROAD
CUMMING, GA 30041
(34.197449, -84.150929)",34.197449,-84.150929
137,ABBOTT HOUSE NURSING HOME,MA,225344,40,Essex,5.0,"28 ESSEX STREET
LYNN, MA 01902
(42.475265, -70.927578)",42.475265,-70.927578
153,MEDICALODGES COLUMBUS,KS,175264,100,Cherokee,5.0,"101 LEE AVE
COLUMBUS, KS 66725
(37.170991, -94.857827)",37.170991,-94.857827
164,LANTERN PARK SPECIALTY CARE,IA,165214,510,Johnson,5.0,"2200 OAKDALE ROAD
CORALVILLE, IA 52241
(41.704426, -91.594659)",41.704426,-91.594659
171,GOOD SAMARITAN SOCIETY - WAUKON,IA,165240,20,Allamakee,5.0,"21 EAST MAIN STREET
WAUKON, IA 52172
(43.269254, -91.473973)",43.269254,-91.473973
178,HILLCREST HOME,IA,165502,80,Bremer,5.0,"915 WEST FIRST STREET
SUMNER, IA 50674
(42.847432, -92.110037)",42.847432,-92.110037
184,GENESIS MEDICAL CENTER-DEWITT,IA,16E118,220,Clinton,5.0,"1118 11TH STREET
DE WITT, IA 52742
(41.825795, -90.547286)",41.825795,-90.547286
187,MEDICALODGES PITTSBURG,KS,175070,180,Crawford,5.0,"2520 S ROUSE ST
PITTSBURG, KS 66762
(37.381078, -94.686699)",37.381078,-94.686699
189,GLEN ARDEN INC,NY,335802,540,Orange,5.0,"46 HARRIMAN DRIVE
GOSHEN, NY 10924
(41.389489, -74.319866)",41.389489,-74.319866
193,HUTCHINSON REGIONAL MEDICAL CENTER INC (SNU),KS,175146,770,Reno,5.0,"1701 E 23RD AVE
HUTCHINSON, KS 67502
(38.079485, -97.892275)",38.079485,-97.892275
196,MEADOWLARK HILLS,KS,175174,800,Riley,5.0,"2121 MEADOWLARK RD
MANHATTAN, KS 66502
(39.207876, -96.577913)",39.207876,-96.577913
202,GALENA NURSING & REHAB CENTER,KS,175233,100,Cherokee,5.0,"1220 E 8TH STREET
GALENA, KS 66739
(37.073715, -94.626535)",37.073715,-94.626535
207,EUREKA NURSING CENTER,KS,175287,360,Greenwood,5.0,"1020 N SCHOOL STREET
EUREKA, KS 67045
(37.829689, -96.291373)",37.829689,-96.291373
209,MEDICALODGES DOUGLASS,KS,175292,70,Butler,5.0,"619 S HIGHWAY
DOUGLASS, KS 67039
(37.514379, -97.005926)",37.514379,-97.005926
223,PARKSIDE HOMES,KS,175387,570,Marion,5.0,"200 WILLOW RD
HILLSBORO, KS 67063
(38.343209, -97.205128)",38.343209,-97.205128
229,CASCADE MANOR,OR,385276,190,Lane,5.0,"65 WEST 30TH AVENUE
EUGENE, OR 97405
(44.024194, -123.093269)",44.024194,-123.093269
230,DOOLEY CENTER,KS,17E585,20,Atchison,5.0,"801 S 8TH STREET
ATCHISON, KS 66002
(39.553888, -95.12367)",39.553888,-95.12367
236,NAZARETH HOME,KY,185138,550,Jefferson,5.0,"2000 NEWBURG ROAD
LOUISVILLE, KY 40205
(38.219023, -85.709166)",38.219023,-85.709166
243,WESTERN STATE NURSING FACILITY,KY,185228,230,Christian,5.0,"2400 RUSSELLVILLE ROAD
HOPKINSVILLE, KY 42240
(36.86276, -87.449535)",36.86276,-87.449535
245,DIVERSICARE OF GLASGOW,KY,185229,40,Barren,5.0,"300 WESTWOOD STREET
GLASGOW, KY 42141
(36.994682, -85.933626)",36.994682,-85.933626
251,FOREST SPRINGS HEALTH CAMPUS,KY,185478,550,Jefferson,5.0,"4120 WOODED ACRE LANE
LOUISVILLE, KY 40245
(38.163561, -85.685556)",38.163561,-85.685556
