Federal Provider Number,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Most Recent Health Inspection More Than 2 Years Ago,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,Latitude,Adjusted Total Nurse Staffing Hours per Resident per Day,Longitude
015113,RIVER CITY CENTER,DECATUR,AL,35601,Morgan,For profit - Corporation,183,168,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,4.0,48.667,0,3,1,$6045.00,0,1,"1350 FOURTEENTH AVENUE SOUTHEAST
DECATUR, AL 35601
(34.58636, -86.970399)",09/01/2016,34.58636,3.28225,-86.970399
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,TUSKEGEE,AL,36083,Macon,For profit - Corporation,77,77,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,4.0,15.333,0,0,0,$0.00,0,0,"603 WRIGHT STREET
TUSKEGEE, AL 36083
(32.432923, -85.691051)",09/01/2016,32.432923,3.72376,-85.691051
015114,SHADESCREST HEALTH CARE CENTER,JASPER,AL,35502,Walker,For profit - Corporation,107,96,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,25.333,0,3,1,$189763.00,0,1,"331 WEST 25TH STREET
JASPER, AL 35502
(33.826573, -87.279027)",09/01/2016,33.826573,5.53756,-87.279027
015123,WASHINGTON COUNTY NURSING HOME,CHATOM,AL,36518,Washington,Government - County,88,81,Medicare and Medicaid,True,False,Yes,4.0,4.0,4.0,3.0,13.333,0,0,0,$0.00,0,0,"14600 ST STEPHENS AVENUE
CHATOM, AL 36518
(31.460032, -88.234524)",09/01/2016,31.460032,5.14766,-88.234524
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",CORDOVA,AL,35550,Walker,For profit - Corporation,114,111,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,32.667,0,0,0,$0.00,0,0,"70 HIGHLAND STREET WEST
CORDOVA, AL 35550
(33.762149, -87.184514)",09/01/2016,33.762149,3.83348,-87.184514
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,HUNTSVILLE,AL,35801,Madison,For profit - Corporation,159,123,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,52.0,0,1,0,$0.00,0,0,"105 TEAKWOOD DRIVE SW
HUNTSVILLE, AL 35801
(34.697369, -86.570383)",09/01/2016,34.697369,3.7966,-86.570383
015138,HENDRIX HEALTH AND REHABILITATION,DOUBLE SPRINGS,AL,35553,Winston,For profit - Corporation,110,96,Medicare and Medicaid,False,False,Yes,5.0,4.0,2.0,1.0,14.667,0,0,0,$0.00,0,0,"1000 HIGHWAY
DOUBLE SPRINGS, AL 35553
(34.163162, -87.409783)",09/01/2016,34.163162,3.9393,-87.409783
015137,ALICEVILLE MANOR NURSING HOME,ALICEVILLE,AL,35442,Pickens,For profit - Corporation,100,79,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,5.333,0,0,0,$0.00,0,0,"703 17TH STREET NORTHWEST
ALICEVILLE, AL 35442
(33.134382, -88.16865)",09/01/2016,33.134382,6.35714,-88.16865
015136,FALKVILLE HEALTH CARE CENTER,FALKVILLE,AL,35622,Morgan,For profit - Corporation,116,102,Medicare and Medicaid,False,False,Yes,5.0,3.0,5.0,5.0,23.333,0,1,0,$0.00,0,0,"10 WEST 3RD STREET
FALKVILLE, AL 35622
(34.368669, -86.910173)",09/01/2016,34.368669,5.39526,-86.910173
015151,AZALEA GARDENS OF MOBILE,MOBILE,AL,36607,Mobile,For profit - Partnership,170,113,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,44.667,0,2,1,$6500.00,0,1,"1758 SPRINGHILL AVE
MOBILE, AL 36607
(30.691974, -88.082071)",09/01/2016,30.691974,4.26429,-88.082071
015162,"TALLADEGA HEALTHCARE CENTER, INC",TALLADEGA,AL,35160,Talladega,For profit - Corporation,234,218,Medicare and Medicaid,False,False,Yes,4.0,2.0,5.0,5.0,30.0,0,1,0,$0.00,0,0,"616 CHAFFEE STREET
TALLADEGA, AL 35160
(33.429158, -86.088035)",09/01/2016,33.429158,7.63312,-86.088035
015159,GOLDEN LIVING CENTER - ONEONTA,ONEONTA,AL,35121,Blount,For profit - Corporation,120,112,Medicare and Medicaid,False,False,Yes,3.0,2.0,2.0,3.0,32.667,0,0,0,$0.00,0,0,"215 VALLEY ROAD
ONEONTA, AL 35121
(33.951915, -86.466295)",09/01/2016,33.951915,2.95974,-86.466295
015164,WILLOW TRACE HEALTH AND REHABILITATION CENTER,BUTLER,AL,36904,Choctaw,For profit - Corporation,120,91,Medicare and Medicaid,False,False,Yes,4.0,4.0,2.0,3.0,17.333,0,0,0,$0.00,0,0,"1406 EAST PUSHMATAHA STREET
BUTLER, AL 36904
(32.095297, -88.185669)",09/01/2016,32.095297,3.05521,-88.185669
015163,ALBERTVILLE NURSING HOME,ALBERTVILLE,AL,35950,Marshall,For profit - Corporation,159,150,Medicare and Medicaid,False,False,Yes,3.0,2.0,5.0,5.0,40.667,0,2,1,$4100.00,0,1,"750 ALABAMA HIGHWAY
ALBERTVILLE, AL 35950
(34.259949, -86.214567)",09/01/2016,34.259949,5.60321,-86.214567
015167,MARION REGIONAL NURSING HOME,HAMILTON,AL,35570,Marion,Non profit - Corporation,79,69,Medicare and Medicaid,True,False,Yes,4.0,4.0,3.0,2.0,19.333,0,0,0,$0.00,0,0,"184 SASSER DRIVE
HAMILTON, AL 35570
(34.125111, -87.991194)",09/01/2016,34.125111,4.13761,-87.991194
015166,DADEVILLE HEALTHCARE CENTER,DADEVILLE,AL,36853,Tallapoosa,For profit - Corporation,144,95,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,2.0,263.0,0,0,1,$183105.00,1,2,"351 NORTH EAST STREET
DADEVILLE, AL 36853
(32.833963, -85.759194)",09/01/2016,32.833963,4.39365,-85.759194
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,MOBILE,AL,36604,Mobile,Non profit - Corporation,75,74,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,3.0,10.667,0,0,0,$0.00,0,0,"1655 MCGILL AVENUE
MOBILE, AL 36604
(30.684156, -88.078467)",09/01/2016,30.684156,5.21201,-88.078467
015183,NORTH MOBILE NURSING AND REHABILITATION CTR,EIGHT MILE,AL,36613,Mobile,For profit - Corporation,172,155,Medicare and Medicaid,False,False,Yes,1.0,2.0,1.0,2.0,34.667,0,1,0,$0.00,0,0,"4525 ST STEPHENS ROAD
EIGHT MILE, AL 36613
(30.764771, -88.128473)",09/01/2016,30.764771,3.22424,-88.128473
