Federal Provider Number,Provider Name,Provider City,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Automatic Sprinkler Systems in All Required Areas,Location,Processing Date,Latitude,Longitude,Adjusted Total Nurse Staffing Hours per Resident per Day,performance_id
015113,RIVER CITY CENTER,DECATUR,35601,Morgan,For profit - Corporation,183,168,Medicare and Medicaid,False,Yes,"1350 FOURTEENTH AVENUE SOUTHEAST
DECATUR, AL 35601
(34.58636, -86.970399)",09/01/2016,34.58636,-86.970399,3.28225,0
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,TUSKEGEE,36083,Macon,For profit - Corporation,77,77,Medicare and Medicaid,False,Yes,"603 WRIGHT STREET
TUSKEGEE, AL 36083
(32.432923, -85.691051)",09/01/2016,32.432923,-85.691051,3.72376,1
015114,SHADESCREST HEALTH CARE CENTER,JASPER,35502,Walker,For profit - Corporation,107,96,Medicare and Medicaid,False,Yes,"331 WEST 25TH STREET
JASPER, AL 35502
(33.826573, -87.279027)",09/01/2016,33.826573,-87.279027,5.53756,2
015123,WASHINGTON COUNTY NURSING HOME,CHATOM,36518,Washington,Government - County,88,81,Medicare and Medicaid,True,Yes,"14600 ST STEPHENS AVENUE
CHATOM, AL 36518
(31.460032, -88.234524)",09/01/2016,31.460032,-88.234524,5.14766,3
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",CORDOVA,35550,Walker,For profit - Corporation,114,111,Medicare and Medicaid,False,Yes,"70 HIGHLAND STREET WEST
CORDOVA, AL 35550
(33.762149, -87.184514)",09/01/2016,33.762149,-87.184514,3.83348,4
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,HUNTSVILLE,35801,Madison,For profit - Corporation,159,123,Medicare and Medicaid,False,Yes,"105 TEAKWOOD DRIVE SW
HUNTSVILLE, AL 35801
(34.697369, -86.570383)",09/01/2016,34.697369,-86.570383,3.7966,5
015138,HENDRIX HEALTH AND REHABILITATION,DOUBLE SPRINGS,35553,Winston,For profit - Corporation,110,96,Medicare and Medicaid,False,Yes,"1000 HIGHWAY
DOUBLE SPRINGS, AL 35553
(34.163162, -87.409783)",09/01/2016,34.163162,-87.409783,3.9393,6
015137,ALICEVILLE MANOR NURSING HOME,ALICEVILLE,35442,Pickens,For profit - Corporation,100,79,Medicare and Medicaid,False,Yes,"703 17TH STREET NORTHWEST
ALICEVILLE, AL 35442
(33.134382, -88.16865)",09/01/2016,33.134382,-88.16865,6.35714,7
015136,FALKVILLE HEALTH CARE CENTER,FALKVILLE,35622,Morgan,For profit - Corporation,116,102,Medicare and Medicaid,False,Yes,"10 WEST 3RD STREET
FALKVILLE, AL 35622
(34.368669, -86.910173)",09/01/2016,34.368669,-86.910173,5.39526,8
015151,AZALEA GARDENS OF MOBILE,MOBILE,36607,Mobile,For profit - Partnership,170,113,Medicare and Medicaid,False,Yes,"1758 SPRINGHILL AVE
MOBILE, AL 36607
(30.691974, -88.082071)",09/01/2016,30.691974,-88.082071,4.26429,9
