Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
False,1.0,1.0,3.0,4.0,48.667,0,3,1,$6045.00,0,1,0
False,5.0,4.0,4.0,4.0,15.333,0,0,0,$0.00,0,0,1
False,4.0,3.0,5.0,5.0,25.333,0,3,1,$189763.00,0,1,2
False,4.0,4.0,4.0,3.0,13.333,0,0,0,$0.00,0,0,3
False,2.0,2.0,3.0,3.0,32.667,0,0,0,$0.00,0,0,4
False,2.0,1.0,4.0,4.0,52.0,0,1,0,$0.00,0,0,5
False,5.0,4.0,2.0,1.0,14.667,0,0,0,$0.00,0,0,6
False,5.0,5.0,4.0,4.0,5.333,0,0,0,$0.00,0,0,7
False,5.0,3.0,5.0,5.0,23.333,0,1,0,$0.00,0,0,8
False,3.0,2.0,4.0,4.0,44.667,0,2,1,$6500.00,0,1,9
False,4.0,2.0,5.0,5.0,30.0,0,1,0,$0.00,0,0,10
False,3.0,2.0,2.0,3.0,32.667,0,0,0,$0.00,0,0,11
False,4.0,4.0,2.0,3.0,17.333,0,0,0,$0.00,0,0,12
False,3.0,2.0,5.0,5.0,40.667,0,2,1,$4100.00,0,1,13
False,4.0,4.0,3.0,2.0,19.333,0,0,0,$0.00,0,0,14
False,1.0,1.0,3.0,2.0,263.0,0,0,1,$183105.00,1,2,15
False,5.0,5.0,4.0,3.0,10.667,0,0,0,$0.00,0,0,16
False,1.0,2.0,1.0,2.0,34.667,0,1,0,$0.00,0,0,17
False,5.0,4.0,5.0,5.0,15.333,0,0,1,$3640.00,0,1,18
False,5.0,3.0,4.0,4.0,23.333,0,5,0,$0.00,0,0,19
False,1.0,1.0,3.0,4.0,72.667,0,4,1,$44400.00,0,1,20
False,5.0,5.0,3.0,2.0,10.667,0,0,0,$0.00,0,0,21
False,3.0,2.0,4.0,4.0,36.667,0,0,0,$0.00,0,0,22
False,4.0,4.0,3.0,2.0,18.0,0,0,0,$0.00,0,0,23
False,3.0,2.0,3.0,2.0,44.667,0,4,0,$0.00,0,0,24
False,3.0,2.0,4.0,3.0,38.0,0,1,0,$0.00,0,0,25
False,1.0,1.0,3.0,2.0,63.333,0,0,0,$0.00,0,0,26
False,2.0,2.0,4.0,4.0,36.667,0,1,0,$0.00,0,0,27
False,2.0,2.0,4.0,3.0,33.167,0,0,1,$52343.00,0,1,28
False,5.0,5.0,4.0,4.0,12.0,0,0,0,$0.00,0,0,29
False,4.0,4.0,1.0,1.0,20.667,0,0,0,$0.00,0,0,30
False,5.0,5.0,,,14.667,0,0,0,$0.00,0,0,31
False,5.0,5.0,4.0,4.0,10.667,0,0,0,$0.00,0,0,32
False,5.0,5.0,5.0,5.0,12.667,0,2,0,$0.00,0,0,33
False,2.0,1.0,4.0,4.0,102.667,0,19,1,$2560.00,0,1,34
False,4.0,4.0,4.0,5.0,38.0,0,0,0,$0.00,0,0,35
False,3.0,3.0,3.0,5.0,48.667,0,4,0,$0.00,0,0,36
False,5.0,3.0,4.0,5.0,51.333,0,8,0,$0.00,0,0,37
False,3.0,2.0,5.0,5.0,80.667,1,4,0,$0.00,0,0,38
