Provider State,Provider Zip Code
AL,35601
AL,36083
AL,35502
AL,36518
AL,35550
AL,35801
AL,35553
AL,35442
AL,35622
AL,36607
AL,35160
AL,35121
AL,36904
AL,35950
AL,35570
AL,36853
AL,36604
AL,36613
AL,36033
AL,35904
AL,35125
AL,36272
AL,36801
AL,36037
AL,35010
AL,36360
AL,35042
AL,36460
AL,36608
AL,36420
AL,36110
CO,80501
CO,80919
CO,80004
CO,80211
CO,80228
CO,80904
CO,80120
CO,81650
FL,32092
FL,34442
FL,34236
FL,33025
GA,30471
GA,30041
GA,31407
MA,1902
KS,66725
IA,51346
IA,51334
IA,51566
IA,51529
IA,51025
IA,50436
IA,51246
IA,52241
IA,52627
IA,50638
IA,51237
IA,50616
IA,52172
IA,52625
IA,50112
IA,52151
IA,50021
MN,55804
IA,50674
IA,52742
IA,52632
KS,66762
IA,52537
NY,10924
KS,66002
KS,66044
KS,66524
KS,67502
KS,66502
KS,66614
KS,67439
KS,67361
KS,66043
KS,66111
KS,66739
KS,67665
KS,67530
KS,67045
KS,67337
KS,67039
KS,67052
OH,45891
KS,66757
KS,66060
KS,67601
KS,67901
KS,66066
KS,66067
KS,67548
KS,67801
KS,67730
KS,66763
KS,67505
KS,67063
KS,66533
OR,97405
KS,67029
KS,67156
KY,41075
KY,42071
KY,40743
KY,40205
KY,40218
KY,41822
KY,41653
KY,40004
KY,42167
KY,42240
KY,41522
KY,42141
KY,42029
KY,42303
KY,40245
KY,41101
LA,70806
LA,70748
LA,71291
LA,70458
LA,70121
LA,70128
LA,70461
LA,71334
LA,70068
LA,70071
LA,70003
LA,71449
LA,70570
LA,70301
LA,70072
LA,70764
LA,71106
LA,71203
LA,70811
LA,71295
LA,70538
LA,71360
LA,71232
LA,71263
LA,71222
LA,71269
LA,71118
LA,70808
LA,70601
LA,70119
LA,70663
LA,70392
PA,19035
ME,4938
MD,21550
ME,4943
ME,4210
ME,4649
ME,4364
ME,4743
MD,20815
MD,21211
MD,21212
MD,21215
MD,20850
MD,21802
MD,21157
MD,21851
MD,21222
MD,20744
MD,21784
MD,20782
MD,21713
MD,20906
MD,20735
MD,21224
MD,20854
MD,21228
MD,21853
MD,21220
MD,20721
MD,21050
MD,21911
MD,20783
MD,21613
MD,21701
MD,21133
MD,21229
MD,21502
MD,20814
MD,21032
MD,21620
MD,21403
MD,20716
MD,20688
MD,20678
MD,21037
MD,20774
MD,21771
MD,21216
MD,20695
MD,21030
MA,2766
MA,2420
MA,2188
MA,2184
MA,1420
MA,1923
MA,1001
MA,1906
MA,2138
MA,1440
MA,1020
MA,2081
MA,1851
MA,2532
MA,1752
MA,2062
MA,2346
MA,2657
MA,2780
MA,2189
MA,2493
MA,1501
MA,2176
MA,2767
MA,1960
MA,1240
MA,2135
MA,1835
MA,1450
MA,1773
MI,49635
MI,49707
MI,48842
MI,48193
MI,49783
MI,48076
MI,49423
MI,49456
MI,48192
MI,49544
MI,48207
MI,48654
MI,48212
MI,49684
MI,48823
MI,48629
MI,48631
MI,48154
MI,49664
MI,48034
MI,48085
MI,48442
MI,48065
MN,56208
MN,55303
MN,55110
MN,55343
MN,55102
MN,56560
MN,56143
MN,56071
MN,55313
MN,56001
MS,38701
MS,39654
MS,38930
MS,38703
MS,38637
MS,39056
MO,63944
MO,63301
MO,64601
MO,64485
MO,64050
TX,79601
VA,24083
NE,69341
NE,68901
NE,68727
NE,68632
NE,68003
NE,69165
NE,68930
NE,68028
NE,68462
NJ,7716
NJ,7055
NJ,7016
NJ,8701
NJ,7480
NJ,8817
NJ,7410
NM,88005
NM,87111
NM,87801
NM,87109
NM,87108
NY,10550
NY,12564
NY,10701
NY,10002
NY,11201
NY,12020
NY,11717
NY,10465
NY,12010
NY,12561
NY,13760
NC,27834
NC,28901
NC,27893
OH,45458
OH,44408
OH,44224
OH,45760
OH,45406
OH,43016
OH,44146
OH,44440
OH,44515
OH,45439
OH,45660
OH,45804
OH,43130
OH,43138
OH,44632
OH,45224
OH,43616
OH,45628
OH,44708
OH,43558
OH,43050
OH,44839
OH,44641
OK,73554
OK,73801
OK,73107
OK,73052
OK,74354
OK,74631
OR,97030
OR,97220
OR,97504
OR,97224
PA,17566
PA,17044
PA,16901
PA,15243
PA,17857
PA,18330
PA,19002
PA,18013
PA,18436
PA,18052
PA,19150
PA,18940
TX,77030
TX,78014
AL,36535
AL,36092
AL,35473
AL,35045
AL,35631
AL,35611
AL,36427
AL,35674
AL,35127
AL,35206
AL,35768
AL,36925
AL,35150
AL,36116
AL,35111
AL,35653
AL,36106
AL,35210
AL,36264
AL,35020
AL,35957
AL,35952
AL,36701
AL,35077
AL,36526
AL,36066
AL,35217
AL,36605
AL,35205
AL,36323
AL,35055
AL,35234
AL,36603
AL,36401
AL,36854
AL,36756
AL,35476
AL,36266
AL,35481
AL,36078
AL,36340
AL,35563
AL,35582
AL,35214
AL,35226
AL,35976
AL,35603
AL,36862
AL,35023
AL,36532
AL,35954
AL,35228
AL,36079
AL,36748
AL,36027
AL,35961
AL,35072
AL,35504
AL,36617
AL,36467
AL,36331
AL,35901
AL,35999
AL,36784
AL,36863
AL,35758
AL,35592
AL,35960
AL,35071
AL,36203
AL,35650
AL,36251
AL,36274
AL,35215
AL,35805
AL,36502
AL,35016
AL,35007
AL,35630
AL,35244
AL,36302
AL,35967
AL,35555
AL,35565
AL,35211
AL,35905
AL,36867
AL,36089
AL,35462
AL,36305
AL,35962
AL,36732
AL,36703
AL,36207
AL,35204
AL,36522
AR,72956
AZ,85247
AK,99762
AK,99504
AK,99664
AK,99574
AR,72205
AK,99801
AR,71957
AK,99615
AR,72150
AR,72904
AR,71667
AL,36567
AL,35128
AR,72801
CA,91764
CA,95240
AR,72833
CA,95969
CA,93654
CA,90201
CA,92504
CA,95490
CA,92805
CA,90061
CA,91790
CA,90025
CA,94109
CA,95054
AZ,85260
CA,91103
CA,94024
CA,91776
CA,93720
CA,91750
CA,91042
AR,71854
CA,90026
AR,71665
AR,72086
AR,72104
CA,92506
CA,90404
CA,95348
CA,91942
AL,35953
AR,71832
CA,90732
CA,90806
CA,92102
CA,95603
AR,72034
AR,72432
CA,91768
AZ,86047
CA,91950
AZ,85351
AR,72401
AR,72653
CA,94556
AZ,85050
AZ,85364
CA,94040
CA,92832
AK,99833
CA,91205
AZ,85040
AZ,85029
CA,94509
AR,72442
AR,71635
CA,91214
CA,91107
AR,72601
CA,92802
CA,91204
CA,95695
CA,94609
CA,90033
AZ,85015
AZ,85718
AZ,85338
CA,92373
CA,95405
CA,95608
AZ,85382
CA,90036
AR,72450
CA,91733
CA,91706
AZ,85032
CA,91740
CA,94903
AR,72834
AZ,85016
AL,36310
CA,92123
AZ,85712
CA,90042
CA,91344
AR,71901
CA,95945
CA,90301
AZ,85048
CA,90006
CA,91762
AR,72342
AR,72023
CA,91711
CA,93105
CA,90011
CA,95991
AR,72204
CA,90502
CA,90016
CA,91607
AL,35763
AL,36693
AR,72635
CA,91977
CA,91040
AZ,86322
AR,71655
CA,95926
CA,91506
AR,72335
CA,92110
CA,94602
CA,95207
CA,90034
CA,92139
CA,95336
AZ,86001
AZ,85268
CA,95632
CA,93726
CA,92024
CA,90240
CA,95822
AZ,85323
CA,95350
CA,91010
CA,90046
CA,93657
CA,92103
CA,90602
CA,92404
CA,95425
CA,95366
AZ,86314
AR,72472
CA,95340
AR,72761
CA,90706
AR,72560
CA,93950
CA,91775
AL,35235
AR,71852
AZ,85205
CA,95688
CA,93277
AR,72923
AR,71913
CA,90029
CA,91754
CA,90717
CA,90048
AZ,86406
AR,72160
AL,36107
AR,71603
AR,71701
AR,71653
CA,95014
CA,95501
CA,93401
CA,90814
AZ,85374
AR,72712
CA,90606
AZ,85340
CA,92105
CA,94610
CA,90503
CA,93638
CA,94015
CA,91020
CA,90631
AR,72113
CA,95128
CA,91770
CA,92543
CA,94115
CA,90230
AZ,85635
CA,94116
CA,91206
AR,72762
CA,91941
AZ,85719
CA,90805
CA,93454
CA,95124
CA,93023
CA,90019
AR,71730
CA,92780
AZ,85120
CA,93610
CA,95616
CA,92262
CA,91342
CA,92411
CA,90723
CA,95355
AR,72315
CA,94952
CA,93637
AZ,86401
AR,72437
AR,72921
CA,92835
CA,91304
CA,91016
AZ,85602
AR,72112
CA,95472
AR,72064
AZ,85224
CA,92705
CA,94565
CA,90804
CA,94611
CA,92627
CA,92509
AR,71943
CA,90023
CA,90701
AK,99669
AL,35406
AR,72513
AZ,86326
AR,71801
AR,72126
AR,72040
CA,92025
CA,93706
AZ,86305
CA,95816
AL,36109
AL,35806
AR,72404
AR,72042
CA,95691
CA,93631
AR,72543
AL,36265
CA,92653
AR,72764
AR,72830
AZ,85206
CA,94705
AK,99686
CA,91105
CA,90803
AZ,85710
CA,95841
AZ,86442
CA,94901
CA,94044
AR,72650
AR,71909
AR,72753
CA,92392
AZ,85254
AZ,85020
CA,95010
AZ,85008
CA,92879
AL,35802
AR,71953
CA,91723
CA,93263
CA,90650
CA,96001
AR,72641
AR,72927
CA,94521
AL,35242
AR,72455
CA,94549
CA,93257
AZ,85373
AZ,85713
CA,90262
CA,92804
CA,90720
AR,71742
CA,96094
CA,92399
AL,36022
CA,91763
CA,91945
CA,90057
CA,90247
CA,93292
AR,72501
AZ,85546
AR,72110
AZ,85363
AR,72143
AR,72903
AR,72015
CA,95361
AR,71671
CA,95966
AL,35810
CA,92503
CA,95242
AR,71857
AZ,85257
AZ,85614
AZ,85282
AZ,85306
CA,94589
AR,72301
CA,90810
CA,92840
AR,72024
CA,91423
AR,71861
AR,71602
CA,92843
CA,95661
CA,90066
AR,72206
CA,93725
CA,94577
AR,72058
